id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3581,Ross,Terrence,9.21,ORL,SG/SF,@ CHA,16.00,4.67,0.78,1.60,0.98,0.37,0.14,0.69,1.03,0.27,0.06,1.81,2.43,0.00,0.000,,
2643,Tucker,P.J.,8.75,PHI,SF/PF,@ NYK,22.00,2.49,0.49,3.23,0.68,0.42,0.17,0.44,0.36,0.30,0.06,0.85,1.33,0.00,0.000,,
6531,Watson,Peyton,8.54,DEN,SF,@ MIN,10.00,3.54,0.34,2.41,0.65,0.39,0.22,0.76,1.04,0.44,0.20,1.38,2.01,0.00,0.000,,
5927,Konchar,John,8.15,MEM,SG,TOR,10.00,2.95,0.43,2.13,0.88,0.46,0.12,0.31,0.71,0.24,0.05,1.14,1.19,0.00,0.000,,
6156,Lewis,Kira,8.08,NOR,PG,SAC,10.00,3.96,0.40,1.12,1.31,0.37,0.06,0.61,1.16,0.44,0.05,1.56,2.26,0.00,0.000,,
6206,Stevens,Lamar,7.98,CLE,PF,@ IND,12.00,3.69,0.32,2.09,0.43,0.27,0.27,0.41,1.13,0.47,0.18,1.45,1.68,0.00,0.000,,
6294,Thor,J.T.,7.70,CHA,PF,ORL,12.00,2.94,0.34,2.14,0.54,0.31,0.38,0.55,0.77,0.38,0.18,1.11,1.39,0.00,0.000,,
5961,Thybulle,Matisse,7.04,PHI,SG/SF,@ NYK,12.00,2.43,0.39,1.22,0.51,0.80,0.30,0.15,0.60,0.06,0.02,0.99,1.30,0.00,0.000,,
5343,Hernangomez,Juan,7.03,TOR,PF,@ MEM,12.00,2.20,0.35,2.51,0.43,0.35,0.16,0.30,0.48,0.19,0.16,0.83,1.21,0.00,0.000,,
3047,Green,Danny,7.02,MEM,SG/SF,TOR,11.00,2.48,0.72,1.51,0.67,0.48,0.26,0.39,0.13,0.06,0.02,0.85,1.23,0.00,0.000,Off Injury Report,
6299,McBride,Miles,4.59,NYK,PG,PHI,8.00,1.94,0.34,0.56,0.69,0.40,0.04,0.28,0.35,0.22,0.11,0.69,1.30,0.00,0.000,,
3475,Fournier,Evan,0.00,NYK,SG/SF,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5276,Forbes,Bryn,0.00,MIN,SG,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5711,Bamba,Mo,0.00,ORL,C,@ CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Suspended,
3029,Johnson,James,0.00,IND,PF,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6543,Minott,Josh,0.00,MIN,PF,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6554,Harper Jr.,Ron,0.00,TOR,SF,@ MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6566,Champagnie,Julian,0.00,PHI,SF,@ NYK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6535,Brown,Kendall,0.00,IND,SF,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6527,Roddy,David,0.00,MEM,PF,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
5275,Arcidiacono,Ryan,0.00,NYK,PG,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6115,Bitadze,Goga,0.00,IND,C,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6552,Seabron,Dereon,0.00,NOR,SG,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6530,McGowens,Bryce,0.00,CHA,SG,ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6117,Morant,Ja,0.00,MEM,PG,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6528,Keels,Trevor,0.00,NYK,SG,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
3076,Temple,Garrett,0.00,NOR,SG,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6503,Daniels,Dyson,0.00,NOR,PG,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6121,Williamson,Zion,0.00,NOR,PF,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
3930,Jokic,Nikola,0.00,DEN,C,@ MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
5052,Towns,Karl-Anthony,0.00,MIN,PF/C,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6459,Ryan,Matt,0.00,MIN,SF,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6109,Reddish,Cam,0.00,NYK,SG/SF,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6517,Liddell,E.J.,0.00,NOR,PF,SAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,
6563,Lofton Jr.,Kenny,0.00,MEM,PF,TOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Active,
3920,Gordon,Aaron,0.00,DEN,PF,@ MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
6123,Okeke,Chuma,0.00,ORL,PF,@ CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
6033,Schofield,Admiral,0.00,ORL,SF,@ CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
6211,Queen,Trevelin,0.00,IND,SG,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6151,Hampton,R.J.,0.00,ORL,PG,@ CHA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,G-League,
6559,Gillespie,Collin,0.00,DEN,PG,@ MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
5039,Oubre,Kelly,0.00,CHA,SG/SF/PF,ORL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Injured,
5452,Fox,De'Aaron,0.00,SAC,PG,@ NOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out,
3730,Neto,Raul,0.00,CLE,PG,@ IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,
3731,Porter,Otto,0.00,TOR,SF,@ MEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,Out for season,
