id,last_name,first_name,team,position
3373,Joseph,Cory,DET,PG
5459,Kennard,Luke,MEM,SG
5927,Konchar,John,MEM,SG
6563,Lofton Jr.,Kenny,MEM,PF
6586,Williams,Vince,MEM,SF
6308,Williams,Ziaire,MEM,SG
6589,Rhoden,Jared,DET,SG
3711,Adams,Steven,MEM,C
6516,Chandler,Kennedy,MEM,PG
3718,Noel,Nerlens,DET,C
5721,Bagley III,Marvin,DET,PF/C
3817,McGruder,Rodney,DET,SG
6275,Cunningham,Cade,DET,PG/SG
6657,Umude,Stanley,DET,SF
6527,Roddy,David,MEM,PF
6525,LaRavia,Jake,MEM,PF
6587,Boeheim,Buddy,DET,SG
