Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
100,3717048059,l800Eddie (114/150),0,324,C Alperen Sengun F Jaren Jackson Jr. G Trae Young PF Duncan Robinson PG Kevin Porter Jr. SF Jalen McDaniels SG Jaden Hardy UTIL Isaiah Jackson,,Josh Hart,SG,0.95%,18
103,3717090547,jbasi73 (127/150),17.02,323.5,C Alperen Sengun F Terence Davis G Shake Milton PF Patrick Williams PG Jaden Ivey SF Brandon Ingram SG Victor Oladipo UTIL Immanuel Quickley,,Keegan Murray,UTIL,0.95%,14.25
104,3717244850,moklovin (45/150),24,323.25,C Cody Zeller F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Bennedict Mathurin SG Victor Oladipo UTIL Cameron Payne,,Saddiq Bey,SF,0.90%,21.75
104,3717090450,jbasi73 (30/150),17.02,323.25,C Pascal Siakam F PJ Dozier G Theo Maledon PF Jaren Jackson Jr. PG Jaden Ivey SF Trey Murphy III SG Victor Oladipo UTIL Shake Milton,,Aaron Nesmith,PF,0.89%,15
104,3716483188,Nickelback4Lyfe (97/150),0,323.25,C Goga Bitadze F Brandon Ingram G Lindell Wigginton PF Pascal Siakam PG Trae Young SF Franz Wagner SG Jaden Springer UTIL Coby White,,OG Anunoby,F,0.87%,13.5
107,3717221455,bgk0091 (47/53),24,323,C Alperen Sengun F Josh Okogie G Coby White PF Obi Toppin PG Theo Maledon SF Svi Mykhailiuk SG Jaden Ivey UTIL Shake Milton,,Jonathan Kuminga,F,0.87%,13.75
107,3716443612,dacoltz (81/150),0,323,C Isaiah Jackson F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Max Strus SG Jaden Hardy UTIL Coby White,,Kendrick Nunn,G,0.83%,13.5
107,3717195082,keetz18 (9/24),0,323,C Goga Bitadze F Jaren Jackson Jr. G Lindell Wigginton PF Duncan Robinson PG Immanuel Quickley SF Brandon Ingram SG Shake Milton UTIL Jaden Ivey,,Jordan Goodwin,UTIL,0.82%,22.75
110,3716443566,dacoltz (35/150),24,322.5,C Paul Reed F Marjon Beauchamp G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Jalen McDaniels SG Jaden Hardy UTIL Anthony Davis,,PJ Dozier,F,0.82%,5
111,3716570637,bpcologna (4/150),0,322.25,C Alperen Sengun F Patrick Williams G Shake Milton PF Jaren Jackson Jr. PG Theo Maledon SF Brandon Ingram SG Jaden Springer UTIL Jaden Hardy,,Anthony Gill,UTIL,0.81%,10.25
112,3717045656,Scottced (1/2),0,321.75,C Alperen Sengun F Svi Mykhailiuk G Kevin Porter Jr. PF Jalen McDaniels PG Gabe Vincent SF Haywood Highsmith SG Immanuel Quickley UTIL Theo Maledon,,Derrick Jones Jr.,F,0.77%,15.25
