id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5701,Okogie,Josh,24.61,PHO,SG/SF,@ LAL,27,12.65,1.83,4.96,1.19,1.14,0.66,1.15,2.36,2.44,0.94,4.19,6.56,0.02,0,
5458,Monk,Malik,24.23,SAC,SG/SF,GSW,23,12.88,1.9,2.79,3.83,0.63,0.34,1.59,2.32,2.54,0.35,4.22,5.23,0.02,0,Questionable
5489,Hartenstein,Isaiah,24.09,NYK,PF/C,@ NOR,26,7.19,0.03,8.58,1.79,0.86,1.05,1.05,3.21,0.68,0.37,3.24,2.15,0.12,0,
6324,Jones,Herb,24.09,NOR,SF/PF,NYK,31,9.68,0.79,4.47,3.08,1.56,0.66,1.32,2.75,1.81,0.6,3.54,4.14,0.01,0,
2851,McGee,JaVale,24.02,DAL,C,CHI,20,10.7,0.08,7.47,0.7,0.28,1.58,2.2,4.64,1.18,0.7,4.72,2.72,0.18,0,Probable
6168,Tillman,Xavier,23.85,MEM,PF/C,@ MIL,27,8.39,0.04,6.75,2.59,1.24,0.52,0.93,3.64,0.99,0.7,3.68,3.02,0.04,0,Off Injury Report
6162,Anthony,Cole,23.78,ORL,PG,@ BKN,27,11.5,1.03,4.68,3.04,0.52,0.46,1.27,3.01,2.39,0.3,4.04,5.15,0.02,0,
3714,Oladipo,Victor,23.75,MIA,SG,@ WAS,25,11.6,1.7,3.4,3.19,1.37,0.25,2,2.49,1.52,0.45,4.19,6.46,0.01,0,
3464,Drummond,Andre,23.73,CHI,C,@ DAL,16,10.48,0,8.11,0.45,0.83,0.57,1.38,4.35,1.78,1.7,4.35,2.25,0.22,0,
6286,Springer,Jaden,23.45,PHI,PG,@ ATL,30,10.52,0.77,4.41,2.57,1.43,0.74,2.38,3.18,1.85,0.53,3.95,5.79,0.02,0,Questionable
6370,Goodwin,Jordan,23.4,WAS,SG,MIA,25,8.97,0.79,4.69,3.72,1.16,0.48,1.41,2.67,1.26,0.34,3.46,4.58,0.01,0,Off the Bench
5728,Landale,Jock,23.36,PHO,C,@ LAL,20,9.75,0.43,7.38,1.51,0.39,0.74,1.16,3.49,1.48,0.47,3.92,3.05,0.15,0,
6047,Hunter,De'Andre,23.3,ATL,SF/PF,PHI,32,14.45,1.33,3.64,1.51,0.59,0.4,1.27,4.14,2.18,0.47,5.47,6.01,0.02,0,Questionable
5442,Jones,Derrick,23.18,CHI,SF,@ DAL,30,11.96,1.1,4.75,1.08,0.78,0.95,0.75,3.09,2.48,0.93,4.19,4.2,0.02,0,
6149,Okongwu,Onyeka,23.07,ATL,C,PHI,19,9.55,0,6.66,1.03,0.58,1.41,0.82,3.56,2.43,0.63,3.56,1.84,0.05,0,
